round_epochs,val_loss,val_acc,loss,acc,lr,activation,pool,pool_stride,filter_stride,pad,output,use_batchnorm,optimizer,filter_dims,batch_size,epochs,seed,dropout
110,24.440255462646483,0.10006666699449221,32.0223958871024,0.10339999978712627,0.06000040000000001,elu,2,2,1,same,10,True,RMSprop,3,272,110,10,0.22
155,1.0438059980392456,0.7464000008424123,0.1997891251019069,1.0,0.020000800000000003,elu,2,2,1,same,10,True,SGD,5,92,155,10,0.28
65,2.819918609968821,0.7172000016490618,1.9330333444969994,1.0,0.0100009,elu,2,2,1,same,10,True,SGD,5,437,65,10,0.31
128,15.752589243443808,0.105266667261223,17.815700398363386,0.10662857180833817,0.020000800000000003,elu,2,2,1,same,10,True,RMSprop,5,437,128,10,0.25
137,14.508598361206055,0.10000000040729841,14.508574324907576,0.10000000082680158,0.09000010000000001,elu,2,2,1,same,10,True,Adam,5,152,137,10,0.19
65,15.18892032623291,0.1067333301772674,15.687025837271554,0.10459999688523157,0.0100009,elu,2,2,1,same,10,True,RMSprop,5,62,65,10,0.28
191,40.79818775838216,0.1000000007112821,54.36112178955078,0.10257142904996872,0.09000010000000001,elu,2,2,1,same,10,True,RMSprop,3,392,191,10,0.22
65,18.58695680465698,0.10000000010679165,21.32409533506121,0.10379999959128243,0.030000700000000005,elu,2,2,1,same,10,True,RMSprop,5,407,65,10,0.16
47,1.6551244757016499,0.6932666765371959,1.4151553726196289,0.7739714239597321,0.09000010000000001,elu,2,2,1,same,10,True,SGD,3,92,47,10,0.33999999999999997
92,44.928592685953774,0.10000000032683214,72.19119201136998,0.102085714333398,0.0700003,elu,2,2,1,same,10,True,RMSprop,5,272,92,10,0.25
38,14.506285852495829,0.09999999990935127,14.506287495313371,0.10114285695893424,0.06000040000000001,elu,2,2,1,same,10,True,Adam,5,137,38,10,0.25
29,1.8258535423676172,0.6703333317041397,0.8634546845282827,0.9971142787643842,0.040000600000000004,elu,2,2,1,same,10,True,SGD,3,437,29,10,0.31
56,25.18228398946126,0.1000000006655852,46.06705967843192,0.10262857147923538,0.08000020000000001,elu,2,2,1,same,10,True,RMSprop,3,332,56,10,0.16
155,10.587890512975058,0.657999997250239,10.415814391599383,0.7298285714830671,1e-06,elu,2,2,1,same,10,True,RMSprop,3,122,155,10,0.28
92,25.14571195602417,0.09999999990935127,25.145753028542654,0.10105714273170702,0.030000700000000005,elu,2,2,1,same,10,True,RMSprop,5,137,92,10,0.1
47,21.044218781026203,0.1000000006655852,26.362012867736816,0.1019142859859126,0.0500005,elu,2,2,1,same,10,True,RMSprop,3,332,47,10,0.37
65,1.0098369240522385,0.7478000005324682,0.21825386789143086,1.0,0.020000800000000003,elu,2,2,1,same,10,True,SGD,5,137,65,10,0.22
119,49.53423099161784,0.10006666744351388,54.17751119210379,0.10391428624050958,0.09000010000000001,elu,2,2,1,same,10,True,RMSprop,3,152,119,10,0.19
173,14.506286112594605,0.10000000007227063,14.506285980551583,0.10099999960841877,0.0500005,elu,2,2,1,same,10,True,Adam,3,197,173,10,0.13
65,2.529652852567037,0.18540000024239223,4.3486003097125465,0.13762857201908316,0.0100009,elu,2,2,1,same,10,True,RMSprop,3,362,65,10,0.37
83,14.506285779062907,0.10000000057518482,14.50628612877982,0.1110857144517558,0.030000700000000005,elu,2,2,1,same,10,True,Adam,3,212,83,10,0.31
119,2.5017138515790305,0.15446666927039623,2.7274517284870146,0.140971428540349,0.0100009,elu,2,2,1,same,10,True,RMSprop,3,497,119,10,0.13
173,14.506285665893556,0.09999999884416659,14.50628569619315,0.10471428446737784,0.020000800000000003,elu,2,2,1,same,10,True,Adam,5,92,173,10,0.16
173,14.506423068491618,0.10659999918043614,14.506420595605032,0.10474285719373397,0.020000800000000003,elu,2,2,1,same,10,True,Adam,3,302,173,10,0.33999999999999997
47,2.2601097546895343,0.18519999996026357,2.3134869342633655,0.179885714197691,0.0100009,elu,2,2,1,same,10,True,Adam,5,47,47,10,0.16
56,31.682974034372965,0.11166666675110658,55.78825193317958,0.10245714300253561,0.06000040000000001,elu,2,2,1,same,10,True,RMSprop,5,437,56,10,0.19
47,2.558580175526937,0.13606666623751323,4.044396133014134,0.12791428625285625,0.0100009,elu,2,2,1,same,10,True,RMSprop,3,332,47,10,0.19
38,51.82696695022583,0.10000000015596548,72.10386979522706,0.10368571434468031,0.0700003,elu,2,2,1,same,10,True,RMSprop,5,287,38,10,0.13
83,1.7047704560756682,0.6971333308657011,0.7254562956384251,0.9687142879826682,0.030000700000000005,elu,2,2,1,same,10,True,SGD,3,107,83,10,0.25
137,8.422288945229848,0.17706666736056406,13.96620831420081,0.10845714320508497,0.0100009,elu,2,2,1,same,10,True,RMSprop,5,167,137,10,0.19
38,14.50628573849996,0.10000000090797742,14.506286035919189,0.10348571436234882,0.040000600000000004,elu,2,2,1,same,10,True,Adam,5,362,38,10,0.28
29,14.66048529510498,0.47299999969005585,14.836157396915981,0.40908571638720376,1e-06,elu,2,2,1,same,10,True,Adam,3,362,29,10,0.28
56,24.06850948537191,0.10000000061392784,32.27692780173165,0.10179999991697924,0.06000040000000001,elu,2,2,1,same,10,True,RMSprop,3,302,56,10,0.37
74,14.506291521962483,0.09999999957978725,14.506296940313067,0.1007714286878705,0.06000040000000001,elu,2,2,1,same,10,True,Adam,3,137,74,10,0.33999999999999997
101,42.73475712483724,0.10653333338697751,71.84487051151821,0.1021142854298864,0.0700003,elu,2,2,1,same,10,True,RMSprop,5,317,101,10,0.16
155,14.506291380818684,0.09999999992450079,14.506288814871652,0.10011428574621678,0.06000040000000001,elu,2,2,1,same,10,True,Adam,5,467,155,10,0.1
155,15.475863384628296,0.10413333213925362,16.380514749635967,0.10639999895649296,0.020000800000000003,elu,2,2,1,same,10,True,RMSprop,3,122,155,10,0.37
110,1.101258014369011,0.7209333321730296,0.19156170307653292,1.0,0.040000600000000004,elu,2,2,1,same,10,True,SGD,5,407,110,10,0.31
